area_associata,Year,frequency_PM10,exposure_PM10,intensity_PM10
MAGENTA,2013,27,0.933,25.2
MAGNAGO,2013,16,0.871,13.942
MARCALLO CON CASONE,2013,26,0.945,24.559
MASATE,2013,21,0.759,15.931
MEDIGLIA,2013,24,0.962,23.081
MELEGNANO,2013,24,0.903,21.667
MELZO,2013,24,0.944,22.65
MESERO,2013,23,0.893,20.546
MORIMONDO,2013,22,0.88,19.362
MOTTA VISCONTI,2013,22,0.869,19.109
MUNICIPIO_1,2013,23,0.888,20.433
MUNICIPIO_2,2013,23,0.953,21.921
MUNICIPIO_3,2013,23,0.953,21.927
MUNICIPIO_4,2013,23,0.902,20.756
MUNICIPIO_5,2013,23,0.86,19.791
MUNICIPIO_6,2013,23,0.85,19.54
MUNICIPIO_7,2013,23,0.831,19.112
MUNICIPIO_8,2013,23,0.813,18.706
MUNICIPIO_9,2013,23,0.888,20.433
NERVIANO,2013,20,0.889,17.775
NOSATE,2013,15,0.755,11.328
NOVATE MILANESE,2013,20,0.89,17.8
NOVIGLIO,2013,22,0.873,19.203
OPERA,2013,23,0.894,20.569
OSSONA,2013,24,0.92,22.079
OZZERO,2013,21,0.911,19.132
PADERNO DUGNANO,2013,22,0.816,17.953
PANTIGLIATE,2013,24,0.996,23.9
PARABIAGO,2013,20,0.874,17.481
PAULLO,2013,24,0.949,22.773
PERO,2013,18,1.03,18.533
PESCHIERA BORROMEO,2013,24,0.986,23.675
PESSANO CON BORNAGO,2013,23,0.909,20.916
PIEVE EMANUELE,2013,23,0.885,20.359
PIOLTELLO,2013,23,1.11,25.536
POGLIANO MILANESE,2013,19,0.973,18.49
POZZO D`ADDA,2013,21,0.725,15.221
POZZUOLO MARTESANA,2013,25,0.96,23.99
PREGNANA MILANESE,2013,20,0.915,18.303
RESCALDINA,2013,19,0.894,16.979
RHO,2013,17,1.065,18.099
ROBECCHETTO CON INDUNO,2013,17,0.822,13.974
ROBECCO SUL NAVIGLIO,2013,26,0.945,24.572
RODANO,2013,23,1.104,25.396
ROSATE,2013,22,0.868,19.103
ROZZANO,2013,23,0.871,20.034
SAN DONATO MILANESE,2013,23,0.94,21.612
SAN GIORGIO SU LEGNANO,2013,19,0.886,16.836
SAN GIULIANO MILANESE,2013,23,0.942,21.667
SAN VITTORE OLONA,2013,20,0.859,17.18
SAN ZENONE AL LAMBRO,2013,24,0.889,21.335
SANTO STEFANO TICINO,2013,26,0.933,24.251
SEDRIANO,2013,21,0.876,18.404
SEGRATE,2013,24,0.973,23.355
SENAGO,2013,19,0.97,18.421
SESTO SAN GIOVANNI,2013,23,0.923,21.236
SETTALA,2013,24,0.99,23.754
SETTIMO MILANESE,2013,21,0.799,16.782
SOLARO,2013,19,0.955,18.137
TREZZANO ROSA,2013,18,0.659,11.865
TREZZANO SUL NAVIGLIO,2013,23,0.825,18.982
TREZZO SULL`ADDA,2013,14,0.481,6.74
TRIBIANO,2013,24,0.954,22.892
TRUCCAZZANO,2013,25,0.967,24.182
TURBIGO,2013,15,0.702,10.536
VANZAGHELLO,2013,15,0.89,13.353
VANZAGO,2013,20,0.909,18.183
VAPRIO D`ADDA,2013,18,0.684,12.305
VERMEZZO CON ZELO,2013,22,0.882,19.4
VERNATE,2013,22,0.875,19.245
VIGNATE,2013,24,1.031,24.733
VILLA CORTESE,2013,17,0.885,15.038
VIMODRONE,2013,24,0.949,22.776
VITTUONE,2013,25,0.904,22.597
VIZZOLO PREDABISSI,2013,24,0.908,21.79
ZIBIDO SAN GIACOMO,2013,23,0.859,19.761
ABBIATEGRASSO,2014,20,0.617,12.337
ALBAIRATE,2014,21,0.63,13.234
ARCONATE,2014,16,0.55,8.796
ARESE,2014,24,0.657,15.758
ARLUNO,2014,20,0.604,12.087
ASSAGO,2014,21,0.607,12.744
BARANZATE,2014,24,0.645,15.471
BAREGGIO,2014,22,0.597,13.123
BASIANO,2014,15,0.515,7.729
BASIGLIO,2014,21,0.584,12.267
BELLINZAGO LOMBARDO,2014,19,0.541,10.272
BERNATE TICINO,2014,16,0.642,10.277
BESATE,2014,19,0.574,10.905
BINASCO,2014,21,0.579,12.153
BOFFALORA SOPRA TICINO,2014,20,0.637,12.75
BOLLATE,2014,24,0.646,15.495
BRESSO,2014,21,0.644,13.533
BUBBIANO,2014,19,0.585,11.119
BUCCINASCO,2014,21,0.617,12.952
BUSCATE,2014,14,0.61,8.546
BUSSERO,2014,20,0.568,11.365
BUSTO GAROLFO,2014,18,0.517,9.305
CALVIGNASCO,2014,19,0.587,11.154
CAMBIAGO,2014,19,0.549,10.44
CANEGRATE,2014,19,0.571,10.845
CARPIANO,2014,21,0.559,11.745
CARUGATE,2014,21,0.549,11.536
CASARILE,2014,21,0.575,12.07
CASOREZZO,2014,20,0.568,11.358
CASSANO D`ADDA,2014,20,0.447,8.937
CASSINA DE PECCHI,2014,20,0.544,10.888
CASSINETTA DI LUGAGNANO,2014,21,0.648,13.611
CASTANO PRIMO,2014,14,0.6,8.404
CERNUSCO SUL NAVIGLIO,2014,21,0.554,11.64
CERRO AL LAMBRO,2014,21,0.55,11.54
CERRO MAGGIORE,2014,21,0.566,11.882
CESANO BOSCONE,2014,21,0.617,12.957
CESATE,2014,23,0.631,14.507
CINISELLO BALSAMO,2014,21,0.625,13.116
CISLIANO,2014,21,0.608,12.77
COLOGNO MONZESE,2014,21,0.59,12.389
COLTURANO,2014,21,0.555,11.651
CORBETTA,2014,21,0.665,13.971
CORMANO,2014,22,0.633,13.927
CORNAREDO,2014,22,0.61,13.421
CORSICO,2014,21,0.617,12.953
CUGGIONO,2014,14,0.624,8.735
CUSAGO,2014,21,0.615,12.914
CUSANO MILANINO,2014,22,0.634,13.939
DAIRAGO,2014,16,0.557,8.908
DRESANO,2014,21,0.548,11.498
GAGGIANO,2014,21,0.607,12.748
GARBAGNATE MILANESE,2014,24,0.642,15.417
GESSATE,2014,19,0.559,10.613
GORGONZOLA,2014,19,0.614,11.661
GREZZAGO,2014,11,0.486,5.342
GUDO VISCONTI,2014,19,0.594,11.284
INVERUNO,2014,16,0.621,9.94
INZAGO,2014,19,0.482,9.151
LACCHIARELLA,2014,21,0.573,12.035
LAINATE,2014,24,0.623,14.954
LEGNANO,2014,18,0.558,10.044
LISCATE,2014,19,0.559,10.616
LOCATE DI TRIULZI,2014,21,0.571,11.981
MAGENTA,2014,22,0.666,14.644
MAGNAGO,2014,16,0.514,8.224
MARCALLO CON CASONE,2014,21,0.656,13.781
MASATE,2014,18,0.515,9.269
MEDIGLIA,2014,21,0.562,11.804
MELEGNANO,2014,21,0.555,11.649
MELZO,2014,19,0.625,11.87
MESERO,2014,19,0.597,11.348
MORIMONDO,2014,19,0.579,10.994
MOTTA VISCONTI,2014,19,0.574,10.904
MUNICIPIO_1,2014,21,0.594,12.464
MUNICIPIO_2,2014,22,0.622,13.69
MUNICIPIO_3,2014,22,0.648,14.262
MUNICIPIO_4,2014,22,0.611,13.452
MUNICIPIO_5,2014,21,0.6,12.59
MUNICIPIO_6,2014,21,0.611,12.822
MUNICIPIO_7,2014,21,0.614,12.89
MUNICIPIO_8,2014,21,0.619,12.998
MUNICIPIO_9,2014,21,0.632,13.268
NERVIANO,2014,21,0.593,12.449
NOSATE,2014,15,0.594,8.903
NOVATE MILANESE,2014,22,0.645,14.194
NOVIGLIO,2014,21,0.586,12.311
OPERA,2014,21,0.581,12.202
OSSONA,2014,20,0.617,12.346
OZZERO,2014,19,0.573,10.888
PADERNO DUGNANO,2014,22,0.63,13.866
PANTIGLIATE,2014,21,0.558,11.71
PARABIAGO,2014,21,0.569,11.951
PAULLO,2014,21,0.568,11.936
PERO,2014,24,0.639,15.338
PESCHIERA BORROMEO,2014,21,0.585,12.286
PESSANO CON BORNAGO,2014,19,0.602,11.429
PIEVE EMANUELE,2014,21,0.576,12.1
PIOLTELLO,2014,19,0.583,11.076
POGLIANO MILANESE,2014,22,0.6,13.21
POZZO D`ADDA,2014,16,0.526,8.409
POZZUOLO MARTESANA,2014,20,0.507,10.146
PREGNANA MILANESE,2014,22,0.608,13.374
RESCALDINA,2014,21,0.551,11.568
RHO,2014,24,0.64,15.366
ROBECCHETTO CON INDUNO,2014,14,0.545,7.631
ROBECCO SUL NAVIGLIO,2014,21,0.671,14.098
RODANO,2014,19,0.579,11.004
ROSATE,2014,19,0.592,11.239
ROZZANO,2014,21,0.594,12.481
SAN DONATO MILANESE,2014,21,0.595,12.487
SAN GIORGIO SU LEGNANO,2014,18,0.558,10.038
SAN GIULIANO MILANESE,2014,21,0.578,12.146
SAN VITTORE OLONA,2014,21,0.553,11.619
SAN ZENONE AL LAMBRO,2014,21,0.538,11.292
SANTO STEFANO TICINO,2014,21,0.648,13.618
SEDRIANO,2014,21,0.613,12.881
SEGRATE,2014,21,0.607,12.746
SENAGO,2014,23,0.641,14.744
SESTO SAN GIOVANNI,2014,22,0.605,13.301
SETTALA,2014,21,0.54,11.335
SETTIMO MILANESE,2014,22,0.615,13.541
SOLARO,2014,22,0.612,13.465
TREZZANO ROSA,2014,12,0.519,6.232
TREZZANO SUL NAVIGLIO,2014,21,0.615,12.921
TREZZO SULL`ADDA,2014,10,0.497,4.968
TRIBIANO,2014,21,0.555,11.656
TRUCCAZZANO,2014,20,0.518,10.366
TURBIGO,2014,15,0.603,9.039
VANZAGHELLO,2014,15,0.571,8.571
VANZAGO,2014,22,0.596,13.108
VAPRIO D`ADDA,2014,14,0.507,7.093
VERMEZZO CON ZELO,2014,19,0.595,11.303
VERNATE,2014,20,0.581,11.613
VIGNATE,2014,20,0.551,11.012
VILLA CORTESE,2014,18,0.513,9.243
VIMODRONE,2014,21,0.596,12.508
VITTUONE,2014,21,0.621,13.039
VIZZOLO PREDABISSI,2014,21,0.548,11.517
ZIBIDO SAN GIACOMO,2014,21,0.591,12.409
ABBIATEGRASSO,2015,26,0.98,25.489
ALBAIRATE,2015,26,0.998,25.961
ARCONATE,2015,24,0.828,19.867
ARESE,2015,27,1.092,29.471
ARLUNO,2015,26,0.993,25.816
ASSAGO,2015,26,0.898,23.357
BARANZATE,2015,26,1.142,29.697
BAREGGIO,2015,26,0.996,25.905
BASIANO,2015,22,0.683,15.027
BASIGLIO,2015,25,0.913,22.835
BELLINZAGO LOMBARDO,2015,22,0.802,17.634
BERNATE TICINO,2015,25,0.872,21.802
BESATE,2015,25,0.91,22.745
BINASCO,2015,25,0.9,22.505
BOFFALORA SOPRA TICINO,2015,24,1.002,24.053
BOLLATE,2015,26,1.146,29.799
BRESSO,2015,27,0.904,24.4
BUBBIANO,2015,25,0.902,22.558
BUCCINASCO,2015,26,0.908,23.599
BUSCATE,2015,24,0.744,17.862
BUSSERO,2015,24,0.889,21.325
BUSTO GAROLFO,2015,25,0.894,22.344
CALVIGNASCO,2015,25,0.898,22.442
CAMBIAGO,2015,22,0.786,17.282
CANEGRATE,2015,25,0.962,24.047
CARPIANO,2015,25,0.894,22.34
CARUGATE,2015,24,0.884,21.218
CASARILE,2015,25,0.896,22.408
CASOREZZO,2015,26,0.935,24.314
CASSANO D`ADDA,2015,23,0.727,16.72
CASSINA DE PECCHI,2015,24,0.901,21.636
CASSINETTA DI LUGAGNANO,2015,25,1.025,25.625
CASTANO PRIMO,2015,24,0.719,17.245
CERNUSCO SUL NAVIGLIO,2015,24,0.931,22.346
CERRO AL LAMBRO,2015,25,0.876,21.908
CERRO MAGGIORE,2015,26,0.946,24.586
CESANO BOSCONE,2015,26,0.917,23.85
CESATE,2015,26,1.092,28.404
CINISELLO BALSAMO,2015,26,0.902,23.446
CISLIANO,2015,25,0.979,24.471
COLOGNO MONZESE,2015,24,0.92,22.091
COLTURANO,2015,25,0.884,22.107
CORBETTA,2015,25,1.046,26.142
CORMANO,2015,26,0.965,25.083
CORNAREDO,2015,26,1.013,26.334
CORSICO,2015,26,0.911,23.688
CUGGIONO,2015,24,0.758,18.194
CUSAGO,2015,25,0.953,23.828
CUSANO MILANINO,2015,26,0.925,24.039
DAIRAGO,2015,24,0.857,20.556
DRESANO,2015,25,0.872,21.806
GAGGIANO,2015,25,0.924,23.099
GARBAGNATE MILANESE,2015,27,1.087,29.348
GESSATE,2015,22,0.795,17.494
GORGONZOLA,2015,24,0.835,20.039
GREZZAGO,2015,19,0.617,11.72
GUDO VISCONTI,2015,25,0.922,23.043
INVERUNO,2015,25,0.871,21.765
INZAGO,2015,23,0.752,17.286
LACCHIARELLA,2015,25,0.897,22.435
LAINATE,2015,26,1.102,28.657
LEGNANO,2015,25,0.938,23.454
LISCATE,2015,24,0.877,21.057
LOCATE DI TRIULZI,2015,25,0.91,22.76
MAGENTA,2015,24,1.081,25.944
MAGNAGO,2015,24,0.785,18.84
MARCALLO CON CASONE,2015,24,1.047,25.129
MASATE,2015,22,0.725,15.948
MEDIGLIA,2015,24,0.897,21.528
MELEGNANO,2015,25,0.884,22.09
MELZO,2015,24,0.839,20.136
MESERO,2015,25,0.922,23.046
MORIMONDO,2015,25,0.932,23.294
MOTTA VISCONTI,2015,25,0.898,22.448
MUNICIPIO_1,2015,25,0.865,21.628
MUNICIPIO_2,2015,26,0.934,24.275
MUNICIPIO_3,2015,26,0.971,25.257
MUNICIPIO_4,2015,25,0.913,22.837
MUNICIPIO_5,2015,25,0.888,22.195
MUNICIPIO_6,2015,26,0.885,23.01
MUNICIPIO_7,2015,26,0.916,23.806
MUNICIPIO_8,2015,27,0.916,24.725
MUNICIPIO_9,2015,26,0.917,23.834
NERVIANO,2015,26,0.975,25.355
NOSATE,2015,24,0.721,17.294
NOVATE MILANESE,2015,26,1.068,27.76
NOVIGLIO,2015,25,0.907,22.673
OPERA,2015,26,0.896,23.3
OSSONA,2015,26,0.975,25.362
OZZERO,2015,25,0.95,23.748
PADERNO DUGNANO,2015,26,1.013,26.327
PANTIGLIATE,2015,24,0.938,22.511
PARABIAGO,2015,25,0.983,24.582
PAULLO,2015,24,0.862,20.688
PERO,2015,26,1.127,29.311
PESCHIERA BORROMEO,2015,24,0.948,22.749
PESSANO CON BORNAGO,2015,24,0.832,19.979
PIEVE EMANUELE,2015,25,0.91,22.751
PIOLTELLO,2015,23,0.989,22.756
POGLIANO MILANESE,2015,26,1.009,26.224
POZZO D`ADDA,2015,22,0.705,15.505
POZZUOLO MARTESANA,2015,23,0.779,17.928
PREGNANA MILANESE,2015,26,1.009,26.231
RESCALDINA,2015,25,0.964,24.096
RHO,2015,27,1.086,29.327
ROBECCHETTO CON INDUNO,2015,24,0.653,15.676
ROBECCO SUL NAVIGLIO,2015,24,1.059,25.411
RODANO,2015,23,0.985,22.659
ROSATE,2015,25,0.907,22.668
ROZZANO,2015,26,0.897,23.321
SAN DONATO MILANESE,2015,26,0.904,23.497
SAN GIORGIO SU LEGNANO,2015,25,0.942,23.554
SAN GIULIANO MILANESE,2015,25,0.91,22.758
SAN VITTORE OLONA,2015,25,0.964,24.103
SAN ZENONE AL LAMBRO,2015,25,0.858,21.445
SANTO STEFANO TICINO,2015,25,1.034,25.857
SEDRIANO,2015,26,1.001,26.036
SEGRATE,2015,24,0.961,23.057
SENAGO,2015,26,1.099,28.565
SESTO SAN GIOVANNI,2015,26,0.913,23.745
SETTALA,2015,24,0.909,21.804
SETTIMO MILANESE,2015,26,1.003,26.083
SOLARO,2015,26,1.019,26.503
TREZZANO ROSA,2015,21,0.654,13.726
TREZZANO SUL NAVIGLIO,2015,25,0.924,23.11
TREZZO SULL`ADDA,2015,19,0.573,10.889
TRIBIANO,2015,24,0.879,21.089
TRUCCAZZANO,2015,23,0.79,18.166
TURBIGO,2015,24,0.706,16.946
VANZAGHELLO,2015,24,0.765,18.364
VANZAGO,2015,26,0.991,25.758
VAPRIO D`ADDA,2015,21,0.658,13.827
VERMEZZO CON ZELO,2015,25,0.944,23.59
VERNATE,2015,25,0.895,22.37
VIGNATE,2015,24,0.923,22.147
VILLA CORTESE,2015,25,0.897,22.426
VIMODRONE,2015,24,0.924,22.183
VITTUONE,2015,26,1.006,26.151
VIZZOLO PREDABISSI,2015,25,0.874,21.84
ZIBIDO SAN GIACOMO,2015,25,0.913,22.828
ABBIATEGRASSO,2016,17,0.924,15.708
ALBAIRATE,2016,17,0.925,15.719
ARCONATE,2016,15,0.754,11.307
ARESE,2016,20,1.094,21.883
ARLUNO,2016,17,0.948,16.123
ASSAGO,2016,19,0.917,17.421
BARANZATE,2016,20,1.027,20.534
BAREGGIO,2016,18,0.97,17.463
BASIANO,2016,13,0.787,10.235
BASIGLIO,2016,19,0.915,17.385
BELLINZAGO LOMBARDO,2016,15,0.869,13.031
BERNATE TICINO,2016,17,0.727,12.363
BESATE,2016,18,0.943,16.975
BINASCO,2016,19,0.91,17.288
BOFFALORA SOPRA TICINO,2016,17,0.809,13.752
BOLLATE,2016,20,1.03,20.601
BRESSO,2016,19,0.984,18.694
BUBBIANO,2016,19,0.882,16.764
BUCCINASCO,2016,19,0.923,17.543
BUSCATE,2016,15,0.642,9.635
BUSSERO,2016,17,1.013,17.227
BUSTO GAROLFO,2016,17,0.855,14.541
CALVIGNASCO,2016,19,0.888,16.878
CAMBIAGO,2016,15,0.872,13.075
CANEGRATE,2016,17,0.97,16.487
CARPIANO,2016,19,0.909,17.267
CARUGATE,2016,17,1.035,17.599
CASARILE,2016,19,0.908,17.248
CASOREZZO,2016,17,0.898,15.263
CASSANO D`ADDA,2016,14,0.792,11.086
CASSINA DE PECCHI,2016,18,0.964,17.352
CASSINETTA DI LUGAGNANO,2016,17,0.885,15.049
CASTANO PRIMO,2016,15,0.622,9.337
CERNUSCO SUL NAVIGLIO,2016,18,0.992,17.857
CERRO AL LAMBRO,2016,19,0.9,17.093
CERRO MAGGIORE,2016,17,1.029,17.494
CESANO BOSCONE,2016,19,0.934,17.74
CESATE,2016,20,0.984,19.683
CINISELLO BALSAMO,2016,19,0.978,18.589
CISLIANO,2016,18,0.932,16.777
COLOGNO MONZESE,2016,19,0.955,18.144
COLTURANO,2016,18,0.988,17.776
CORBETTA,2016,17,0.879,14.939
CORMANO,2016,19,1.001,19.02
CORNAREDO,2016,19,0.969,18.406
CORSICO,2016,19,0.926,17.6
CUGGIONO,2016,15,0.638,9.577
CUSAGO,2016,19,0.923,17.546
CUSANO MILANINO,2016,19,0.992,18.845
DAIRAGO,2016,17,0.801,13.621
DRESANO,2016,18,0.98,17.639
GAGGIANO,2016,19,0.9,17.105
GARBAGNATE MILANESE,2016,20,1.04,20.8
GESSATE,2016,15,0.883,13.244
GORGONZOLA,2016,17,0.955,16.238
GREZZAGO,2016,13,0.707,9.192
GUDO VISCONTI,2016,19,0.878,16.682
INVERUNO,2016,17,0.754,12.824
INZAGO,2016,14,0.816,11.423
LACCHIARELLA,2016,19,0.909,17.273
LAINATE,2016,20,0.989,19.77
LEGNANO,2016,17,0.961,16.338
LISCATE,2016,17,1.003,17.043
LOCATE DI TRIULZI,2016,19,0.915,17.384
MAGENTA,2016,18,0.814,14.649
MAGNAGO,2016,15,0.717,10.757
MARCALLO CON CASONE,2016,17,0.843,14.336
MASATE,2016,14,0.808,11.308
MEDIGLIA,2016,18,0.996,17.935
MELEGNANO,2016,19,0.904,17.183
MELZO,2016,17,0.951,16.159
MESERO,2016,17,0.785,13.345
MORIMONDO,2016,18,0.924,16.629
MOTTA VISCONTI,2016,19,0.876,16.638
MUNICIPIO_1,2016,19,0.867,16.469
MUNICIPIO_2,2016,21,0.799,16.785
MUNICIPIO_3,2016,21,0.856,17.975
MUNICIPIO_4,2016,20,0.844,16.88
MUNICIPIO_5,2016,19,0.884,16.799
MUNICIPIO_6,2016,19,0.902,17.135
MUNICIPIO_7,2016,19,0.931,17.682
MUNICIPIO_8,2016,19,0.959,18.222
MUNICIPIO_9,2016,20,0.871,17.427
NERVIANO,2016,19,0.946,17.983
NOSATE,2016,15,0.693,10.4
NOVATE MILANESE,2016,20,0.968,19.361
NOVIGLIO,2016,19,0.907,17.237
OPERA,2016,19,0.917,17.424
OSSONA,2016,17,0.878,14.934
OZZERO,2016,17,0.959,16.298
PADERNO DUGNANO,2016,19,1.01,19.198
PANTIGLIATE,2016,18,0.994,17.886
PARABIAGO,2016,17,0.998,16.958
PAULLO,2016,18,0.957,17.225
PERO,2016,20,1.009,20.185
PESCHIERA BORROMEO,2016,18,1.024,18.425
PESSANO CON BORNAGO,2016,17,0.966,16.414
PIEVE EMANUELE,2016,19,0.914,17.361
PIOLTELLO,2016,20,0.883,17.666
POGLIANO MILANESE,2016,20,0.922,18.436
POZZO D`ADDA,2016,13,0.785,10.204
POZZUOLO MARTESANA,2016,15,0.85,12.752
PREGNANA MILANESE,2016,20,0.922,18.435
RESCALDINA,2016,17,1.016,17.269
RHO,2016,20,1.034,20.671
ROBECCHETTO CON INDUNO,2016,15,0.566,8.489
ROBECCO SUL NAVIGLIO,2016,17,0.862,14.661
RODANO,2016,19,0.935,17.758
ROSATE,2016,19,0.887,16.86
ROZZANO,2016,19,0.915,17.391
SAN DONATO MILANESE,2016,19,0.935,17.762
SAN GIORGIO SU LEGNANO,2016,17,0.95,16.147
SAN GIULIANO MILANESE,2016,19,0.923,17.545
SAN VITTORE OLONA,2016,17,1.002,17.035
SAN ZENONE AL LAMBRO,2016,18,0.973,17.51
SANTO STEFANO TICINO,2016,17,0.882,14.992
SEDRIANO,2016,18,0.929,16.725
SEGRATE,2016,18,1.059,19.065
SENAGO,2016,20,0.99,19.808
SESTO SAN GIOVANNI,2016,19,0.974,18.498
SETTALA,2016,18,0.972,17.488
SETTIMO MILANESE,2016,20,0.907,18.147
SOLARO,2016,20,0.935,18.702
TREZZANO ROSA,2016,13,0.753,9.784
TREZZANO SUL NAVIGLIO,2016,19,0.92,17.483
TREZZO SULL`ADDA,2016,13,0.664,8.635
TRIBIANO,2016,18,0.977,17.582
TRUCCAZZANO,2016,15,0.865,12.979
TURBIGO,2016,15,0.717,10.755
VANZAGHELLO,2016,15,0.691,10.364
VANZAGO,2016,19,0.95,18.056
VAPRIO D`ADDA,2016,13,0.751,9.757
VERMEZZO CON ZELO,2016,19,0.864,16.425
VERNATE,2016,19,0.898,17.062
VIGNATE,2016,18,0.974,17.531
VILLA CORTESE,2016,17,0.887,15.084
VIMODRONE,2016,19,0.964,18.311
VITTUONE,2016,17,0.945,16.059
VIZZOLO PREDABISSI,2016,18,0.982,17.671
ZIBIDO SAN GIACOMO,2016,19,0.917,17.414
